amount_match,is_allowable,budget_category,amount_requested,line_description,application_id,reviewer_notes,id,created_date,updated_date,created_by_id,created_by,is_sample
"28000","true","Equipment","280000","HVAC system replacement and electrical panel upgrade","6a075bd4302c4d3a31ab2ef3","","6a075be5302c4d3a31ab2f07","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"14500","true","Equipment","145000","Secure communications and network infrastructure","6a075bd4302c4d3a31ab2ef3","","6a075be5302c4d3a31ab2f08","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"0","true","Equipment","380000","P25 Phase 2 digital radio units (200 units)","6a075bd4302c4d3a31ab2ef4","","6a075be5302c4d3a31ab2f09","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"12000","true","Equipment","120000","Tower modifications and site survey costs","6a075bd4302c4d3a31ab2ef4","","6a075be5302c4d3a31ab2f0a","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"44000","true","Training","80000","P25 operator training for 150 first responders","6a075bd4302c4d3a31ab2ef4","","6a075be5302c4d3a31ab2f0b","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"62500","true","Personnel","125000","EM Director, Deputy Director, and Admin staff salaries (annual pro-rate)","6a075bd4302c4d3a31ab2ef5","","6a075be5302c4d3a31ab2f0c","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"17500","true","Planning","35000","Hazard Mitigation Plan update and county risk assessment","6a075bd4302c4d3a31ab2ef5","","6a075be5302c4d3a31ab2f0d","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"17500","true","Training","35000","Quarterly exercises and drills (4 exercises)","6a075bd4302c4d3a31ab2ef5","","6a075be5302c4d3a31ab2f0e","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"10000","true","Other","20000","Mutual aid coordination and emergency operations support","6a075bd4302c4d3a31ab2ef5","","6a075be5302c4d3a31ab2f0f","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"21000","true","Equipment","210000","Hazmat detection and response equipment","6a075bd4302c4d3a31ab2ef6","","6a075be5302c4d3a31ab2f10","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"10000","true","Training","110000","Specialized hazmat technician training (30 personnel)","6a075bd4302c4d3a31ab2ef6","","6a075be5302c4d3a31ab2f11","2026-05-15T17:46:13.887000","2026-05-15T17:46:13.887000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"22000","true","Contractual","25000","Exercise facilitation and AAR/IP development contractor","6a072ed0174b54c61390121f","","6a072eea174b54c61390122a","2026-05-15T14:34:18.747000","2026-05-15T14:34:18.747000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"62500","true","Personnel","125000","EM Director and two Program Coordinator salaries and benefits (pro-rated)","6a072ed0174b54c613901220","","6a072eea174b54c61390122b","2026-05-15T14:34:18.747000","2026-05-15T14:34:18.747000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"14000","true","Planning","28000","EOP revision, COOP plan update, hazard mitigation plan review","6a072ed0174b54c613901220","","6a072eea174b54c61390122c","2026-05-15T14:34:18.747000","2026-05-15T14:34:18.747000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"9000","true","Training","18000","NIMS/ICS training delivery and statewide exercise participation costs","6a072ed0174b54c613901220","","6a072eea174b54c61390122d","2026-05-15T14:34:18.747000","2026-05-15T14:34:18.747000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"7000","true","Other","14000","EOC operational costs, communications system maintenance, program administration","6a072ed0174b54c613901220","","6a072eea174b54c61390122e","2026-05-15T14:34:18.747000","2026-05-15T14:34:18.747000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"0","true","Equipment","195000","CBRNE detection equipment (multi-gas detectors, radiation pagers, chemical agent detectors)","6a072ed0174b54c61390121f","","6a072eea174b54c613901227","2026-05-15T14:34:18.746000","2026-05-15T14:34:18.746000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"5800","true","Training","58000","Specialized CBRNE training for 40 first responders — detection and response operations","6a072ed0174b54c61390121f","","6a072eea174b54c613901228","2026-05-15T14:34:18.746000","2026-05-15T14:34:18.746000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"3200","true","Planning","32000","Regional CBRNE response plan development and exercise design","6a072ed0174b54c61390121f","","6a072eea174b54c613901229","2026-05-15T14:34:18.746000","2026-05-15T14:34:18.746000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"34000","true","Equipment","340000","P25-compliant portable and mobile radios","6a0210609f78b27b0b54cdc8","","6a0210989f78b27b0b54cdf1","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"4000","true","Contractual","40000","Gateway installation contractor services","6a0210609f78b27b0b54cdc8","","6a0210989f78b27b0b54cdf4","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"19200","true","Equipment","192000","Interoperability gateway equipment - 12 sites","6a0210609f78b27b0b54cdc8","","6a0210989f78b27b0b54cdf2","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"1000","true","Personnel","25000","HAZMAT program coordinator (partial year)","6a0210609f78b27b0b54cdc7","","6a0210989f78b27b0b54cdf0","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"65000","true","Personnel","130000","EM Director and deputy salary/benefits","6a0210609f78b27b0b54cdc9","","6a0210989f78b27b0b54cdf5","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"12500","true","Training","25000","NIMS/ICS training and exercise delivery","6a0210609f78b27b0b54cdc9","","6a0210989f78b27b0b54cdf7","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
