request_type,scope_of_work_current,expenditure_rate,scope_of_work_proposed,fo_approval_status,thira_spr_mission_area,discipline,fo_approved_at,pm_approved_at,modification_type,modification_justification,request_number,match_documented,program_code,period_start,amount_requested,pm_notes,amount_approved,budget_modification_notes,payment_date,fo_approved_by,fo_notes,requires_multi_step_approval,remaining_balance,modification_notes,payment_status,resource_type,submitted_by,organization_name,voucher_number,payment_reference,application_id,reviewer_notes,period_end,thira_spr_primary_capability,required_template_ids,pm_approved_by,organization_id,application_number,pm_approval_status,thira_spr_capability_action,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"Reimbursement","","100","","","","","","","","","FR-2024-DCO-001","21250","SHSP","2024-09-01","212500","","212500","","2025-02-10","","","","0","","Paid","","jsmith@douglas.ne.gov","Douglas County Emergency Management","","CHK-2025-10220","6a075bd4302c4d3a31ab2ef3","","2024-12-31","","[]","","6a02103b9f78b27b0b54cdb9","APP-2024-NE-DCO-001","","","Approved","6a075be5302c4d3a31ab2f01","2026-05-15T17:46:13.873000","2026-05-15T17:46:13.873000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"Reimbursement","","100","","","","","","","","","FR-2024-DCO-002","21250","SHSP","2025-01-01","212500","","212500","","2025-09-15","","","","0","","Paid","","jsmith@douglas.ne.gov","Douglas County Emergency Management","","CHK-2025-10589","6a075bd4302c4d3a31ab2ef3","","2025-08-31","","[]","","6a02103b9f78b27b0b54cdb9","APP-2024-NE-DCO-001","","","Approved","6a075be5302c4d3a31ab2f02","2026-05-15T17:46:13.873000","2026-05-15T17:46:13.873000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"Reimbursement","","30","","","","","","","","","FR-2025-DCO-001","12000","SHSP","2025-09-01","120000","","120000","","2026-01-30","","","","392000","","Paid","","jsmith@douglas.ne.gov","Douglas County Emergency Management","","CHK-2026-10098","6a075bd4302c4d3a31ab2ef4","","2025-12-31","","[]","","6a02103b9f78b27b0b54cdb9","APP-2025-NE-DCO-001","","","Approved","6a075be5302c4d3a31ab2f03","2026-05-15T17:46:13.873000","2026-05-15T17:46:13.873000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"Reimbursement","","30","","","","","","","","","FR-2025-DCO-002","4800","SHSP","2026-01-01","48000","","48000","","2026-05-12","","","","392000","","Paid","","jsmith@douglas.ne.gov","Douglas County Emergency Management","","CHK-2026-10451","6a075bd4302c4d3a31ab2ef4","","2026-04-30","","[]","","6a02103b9f78b27b0b54cdb9","APP-2025-NE-DCO-001","","","Approved","6a075be5302c4d3a31ab2f04","2026-05-15T17:46:13.873000","2026-05-15T17:46:13.873000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"Reimbursement","","22.3","","","","","","","","","FR-2026-DCO-001","24000","EMPG","2026-07-01","48000","","48000","","2026-10-20","","","","167000","","Paid","","jsmith@douglas.ne.gov","Douglas County Emergency Management","","CHK-2026-10735","6a075bd4302c4d3a31ab2ef5","","2026-09-30","","[]","","6a02103b9f78b27b0b54cdb9","APP-2026-NE-DCO-001","","","Approved","6a075be5302c4d3a31ab2f05","2026-05-15T17:46:13.873000","2026-05-15T17:46:13.873000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"Reimbursement","","100","","","","","","","","","FR-2023-DCO-001","31000","SHSP","2023-07-01","310000","","310000","","2024-07-25","","","","0","","Paid","","jsmith@douglas.ne.gov","Douglas County Emergency Management","","CHK-2024-10340","6a075bd4302c4d3a31ab2ef6","","2024-06-30","","[]","","6a02103b9f78b27b0b54cdb9","APP-2023-NE-DCO-001","","","Approved","6a075be5302c4d3a31ab2f06","2026-05-15T17:46:13.873000","2026-05-15T17:46:13.873000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"Reimbursement","","17.7","","","","","","","","","FR-2025-NE-007-01","0","SHSP","2025-07-01","55000","","55000","","2025-11-10","","","","255000","","Paid","","tgarcia@cityofomaha.org","City of Omaha Emergency Management","","CHK-2025-10441","6a072ed0174b54c61390121f","","2025-09-30","","[]","","6a02103b9f78b27b0b54cdb8","APP-2025-NE-007","","","Approved","6a072eea174b54c61390122f","2026-05-15T14:34:18.778000","2026-05-15T14:34:18.778000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"Reimbursement","","29.7","","","","","","","","","FR-2025-NE-007-02","0","SHSP","2025-10-01","37000","","37000","","2026-02-14","","","","218000","","Paid","","tgarcia@cityofomaha.org","City of Omaha Emergency Management","","CHK-2026-10109","6a072ed0174b54c61390121f","","2025-12-31","","[]","","6a02103b9f78b27b0b54cdb8","APP-2025-NE-007","","","Approved","6a072eea174b54c613901230","2026-05-15T14:34:18.778000","2026-05-15T14:34:18.778000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"Reimbursement","","22.2","","","","","","","","","FR-2026-NE-008-01","20500","EMPG","2026-07-01","41000","","41000","","2026-11-05","","","","144000","","Paid","","tgarcia@cityofomaha.org","City of Omaha Emergency Management","","CHK-2026-10882","6a072ed0174b54c613901220","","2026-09-30","","[]","","6a02103b9f78b27b0b54cdb8","APP-2026-NE-008","","","Approved","6a072eea174b54c613901231","2026-05-15T14:34:18.778000","2026-05-15T14:34:18.778000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"Reimbursement","","","","Approved","","","2026-05-21T14:57:21.029Z","2026-05-21T14:57:10.488Z","","","FR-2025-NE-002","7025","SHSP","2025-10-01","70250","","70250","","2026-05-21","lauren.martin29@gmail.com","","true","","","Paid","","jsmith@nema.ne.gov","Nebraska Emergency Management Agency","","","6a0210609f78b27b0b54cdc7","Approved pending disbursement.","2025-12-31","","[]","lauren.martin29@gmail.com","6a02103b9f78b27b0b54cdb7","APP-2025-NE-001","Approved","","Approved","6a0210979f78b27b0b54cde9","2026-05-11T17:23:35.839000","2026-05-21T14:57:21.260000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
